11:59:10.962 [main] INFO  by.training.shape.creator.PyramidCreator - Pyramid is created successfully: RightPyramid{id=3, a=Point{x=1.0, y=1.0, z=0.0}, b=Point{x=4.0, y=1.0, z=0.0}, c=Point{x=4.0, y=4.0, z=0.0}, d=Point{x=1.0, y=4.0, z=0.0}, h=Point{x=2.5, y=2.5, z=3.0}}
11:59:10.967 [main] INFO  by.training.shape.creator.PyramidCreator - Pyramid is created successfully: RightPyramid{id=4, a=Point{x=4.0, y=0.0, z=1.2}, b=Point{x=8.0, y=0.0, z=1.2}, c=Point{x=8.0, y=4.0, z=1.2}, d=Point{x=4.0, y=4.0, z=1.2}, h=Point{x=6.0, y=2.0, z=6.5}}
11:59:10.971 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 1 updated
11:59:10.971 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 1 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 1 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 1 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 1 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 2 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 2 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 2 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 2 updated
11:59:10.972 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 2 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 3 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 3 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 3 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 3 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 3 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 4 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 4 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 4 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 4 updated
11:59:10.973 [main] INFO  by.training.shape.observer.impl.PyramidObserver - Parameters for pyramid id 4 updated
